function,input,output,description,alt_names,regular,extended,long,long+tpad,links
1,Address or Non-Addressable Place name (NAP),"Block face-level data - Standardized Street Name and Street Code, Address Range, List of Cross Streets, ZIP Code, Community District, Health Area, Health Center District, 1990 Census Tract, 2010 Census Tract and block, Fire Engine or Ladder Company, School District, Police Precinct, Police Patrol Borough, XY Coordinates (based on the State Plane Coordinate System), Hurricane Evacuation Zone. 
Extended: USPS Preferred City Name, Latitude, Longitude","Function 1 processes an input address or input Non-Addressable Place name (NAP) (see Chapter III.6).  When called using two work areas, Function 1 returns information about the blockface containing the input address or NAP.  This information includes the cross streets at the two intersections delimiting the blockface, and a set of geographic district identifiers including ZIP code, census tract and community district.  Function 1 may be called with the Extended Mode Switch.",,300,1500,,,"https://nycplanning.github.io/Geosupport-UPG/appendices/appendix01/#function-1
https://nycplanning.github.io/Geosupport-UPG/appendices/appendix13/#work-area-2-cow-functions-1-1e"
1B,Address or NAP,Same as for Function 1E + Property Level Information from Function 1A + Street Names for Cross Streets and Address Lists,"Function 1B processes an input address or input Non-Addressable Place name (NAP) (see Chapter III.6).  Function 1B returns information about the blockface as well as information about the tax lot and the building (if any) identified by the input address or NAP. The information that is returned includes the cross streets at the two intersections delimiting the blockface, and a set of geographic district identifiers including ZIP code, census tract and community district. Information about the tax lot and the building (if any) identified by the input address or NAP is also returned. This information includes the Borough, Block, and, Lot (BBL), which is the Department of Finance's (DOF) identifier for the tax lot; the DOF building class code; the number of buildings on the lot; the number of street frontages of the lot; a flag indicating whether the lot is a condominium; and the Building Identification Number (BIN) (see Chapter VI.3) of the building identified by the input address",address,4300,,,,"https://nycplanning.github.io/Geosupport-UPG/appendices/appendix01/#function-1b
https://nycplanning.github.io/Geosupport-UPG/appendices/appendix13/#work-area-2-cow-function-1b"
1E,Address or NAP,"Same as for Function 1 + Political Geography (Election District, Assembly District, Congressional District, City Council District, Municipal Court District and State Senatorial District)","Function 1E processes an input address or input NAP. It returns the same WA2 information that is returned by Function 1, and additionally, it returns a set of political districts, including Election, State Assembly and Senate, City Council and Congressional Districts.",,300,1500,,,"https://nycplanning.github.io/Geosupport-UPG/appendices/appendix01/#function-1e
https://nycplanning.github.io/Geosupport-UPG/appendices/appendix13/#work-area-2-cow-functions-1-1e"
1A,Address,"Tax lot - and building-level data - Standardized Street Name and Street Code, Tax Block and Lot, Alternative Addresses for Lot, Building Identification Number (BIN), RPAD Building Class, Interior Lot Flag, Vacant Lot Flag, Irregularly-Shaped Lot Flag, Corner Code, Business Improvement District (BID), Latitude, Longitude.","Function 1A processes an input address or input NAP.  When successfully called using two work areas, it returns information about the tax lot and the building (if any) identified by the input address or NAP. See Chapter VI and particularly Chapters VI.6.

The information that is returned consists of information about the tax lot and the building (if any) identified by the input address or NAP. This information includes the Borough, Block, and, Lot (BBL), which is the Department of Finance's (DOF) identifier for the tax lot; the DOF building class code; the number of buildings on the lot; the number of street frontages of the lot; a flag indicating whether the lot is a condominium; the Building Identification Number (BIN) (see Chapter VI.3) of the building identified by the input address, if any; and the Business Improvement District (BID) if the property is in such a district. Function 1A can be called with the long option. The regular mode includes a List of Geographic Identifiers (LGI) for the tax lot, including address ranges, BINs and street frontages. The long mode includes, instead of the LGI, a List of BINs for all the buildings in the tax lot.

Function 1A normally returns information that is updated on a quarterly basis. Users may request more up-to-date information on new buildings and demolitions using the TPAD Request Switch. The TPAD information will include the status of new building construction and/or demolition. See Chapter VI.11.

The regular, long, and extended modes for Function 1A are identical to those for Function BL. Function 1A enables the user to retrieve this information by address, while Function BL enables retrieval by BBL.",,1363,2800,17750,17750,"https://nycplanning.github.io/Geosupport-UPG/appendices/appendix01/#function-1a
https://nycplanning.github.io/Geosupport-UPG/appendices/appendix13/#work-area-2-cow-functions-1a-bl-bn"
1N,Street Name,Standardized Street Name and Street Code,"Function 1N is used to normalize a street name and obtain its street code.  Functions 1, 1A and 1E can do this also, but those functions require an input house number. The purpose of Function 1N is to provide a way to process a street name alone, without a house number. Note that since the input to Function 1N is not a specific location along a street, Function 1N does not perform local street name validation.","street_name_to_street_code, get_street_code",,,,,https://nycplanning.github.io/Geosupport-UPG/appendices/appendix01/#function-1n
2,"Pair of Intersecting Streets, Named Intersection, or Node Number","Intersection-Level data - Standardized Street Name and Street Codes, List of Additional Cross Streets, ZIP Code, Community District, Health Area, 1990 and 2000 Census Tract, Fire Districts, School District, Police Precinct, XY Coordinates (based on State Plane Coordinate System), Sanitation District, Health Center District, some Political Geography COW: 2W: Latitude, Longitude, Node IDs and Cross Streets","Function 2 processes an input intersection specified either in terms of an intersection name, or in terms of two streets (and, when necessary, a compass direction), or in terms of a node ID.  If two input streets intersect exactly once, the user should not specify an input compass direction. If the two input streets intersect at two distinct locations, a compass direction must be specified; it serves to identify which of the two intersections the user wishes Geosupport to process. Geosupport has the ability to process a pair of input streets that intersect more than twice, only if the user can identify the intersection by its node ID. If the user does not know the node ID, the user may issue Function 2W to find the node ID. Function 2W is basically identical to Function 2 except when streets intersect more than twice, Function 2W will reject the call and return the node IDs and street codes/street names for all the intersections at the various nodes. Function 2 and Function 2W are discussed in detail in Chapter VII.2.

When successfully called Function 2 returns information about the input intersection.  If there are more than two streets at an intersection, Function 2 accepts any pair of those streets as user input for that intersection. An intersection that lies on a borough boundary can be specified in terms of one street from each borough, by using the input field Borough Code 2, as described in Chapter VII.7.

The information that Function 2 returns ncludes a list of street codes for all streets at the intersection (including the input streets), spatial coordinates for the intersection, and a set of geographic area identifiers including community district, census tract, police precinct and others. If the intersection lies on the boundary of two or more areas of a given type, the information for one of those areas is returned.

Note: If either Street 1 or Street 2 contains an intersection name, then the other input street field may either be left blank or it may contain any street that exists at the given intersection.",intersection,200,,,,"https://nycplanning.github.io/Geosupport-UPG/appendices/appendix01/#function-2-and-2w
https://nycplanning.github.io/Geosupport-UPG/appendices/appendix13/#work-area-2-cow-function-2"
2W,"Pair of Intersecting Streets, Named Intersection, or Node Number","Intersection-Level data - Standardized Street Name and Street Codes, List of Additional Cross Streets, ZIP Code, Community District, Health Area, 1990 and 2000 Census Tract, Fire Districts, School District, Police Precinct, XY Coordinates (based on State Plane Coordinate System), Sanitation District, Health Center District, some Political Geography, Latitude, Longitude, Node IDs and Cross Streets","Function 2 processes an input intersection specified either in terms of an intersection name, or in terms of two streets (and, when necessary, a compass direction), or in terms of a node ID.  If two input streets intersect exactly once, the user should not specify an input compass direction. If the two input streets intersect at two distinct locations, a compass direction must be specified; it serves to identify which of the two intersections the user wishes Geosupport to process. Geosupport has the ability to process a pair of input streets that intersect more than twice, only if the user can identify the intersection by its node ID. If the user does not know the node ID, the user may issue Function 2W to find the node ID. Function 2W is basically identical to Function 2 except when streets intersect more than twice, Function 2W will reject the call and return the node IDs and street codes/street names for all the intersections at the various nodes. Function 2 and Function 2W are discussed in detail in Chapter VII.2.

When successfully called Function 2 returns information about the input intersection.  If there are more than two streets at an intersection, Function 2 accepts any pair of those streets as user input for that intersection. An intersection that lies on a borough boundary can be specified in terms of one street from each borough, by using the input field Borough Code 2, as described in Chapter VII.7.

The information that Function 2 returns ncludes a list of street codes for all streets at the intersection (including the input streets), spatial coordinates for the intersection, and a set of geographic area identifiers including community district, census tract, police precinct and others. If the intersection lies on the boundary of two or more areas of a given type, the information for one of those areas is returned.

Note: If either Street 1 or Street 2 contains an intersection name, then the other input street field may either be left blank or it may contain any street that exists at the given intersection.","intersections, intersection_wide",4000,,,,"https://nycplanning.github.io/Geosupport-UPG/appendices/appendix01/#function-2-and-2w
https://nycplanning.github.io/Geosupport-UPG/appendices/appendix13/#work-area-2-cow-function-2"
3,On Street and a pair of Consecutive Cross Streets,"Segment-level data - Standardized Street Names and Street Codes, Lists of Cross Streets at both ends, and information about both sides of the street, (including ZIP Codes, Community Districts, Health Areas, 1990, 2000 and 2010 Census Tracts, Fire Districts, School Districts, Police Precincts), 'From' and 'To' Nodes, Election District, Assembly District
Extended: Latitude, Longitude, Blockface ID","Function 3 processes street segments and closely related three-street configurations. A street segment is a part of a street (called the 'on' street) between two consecutive cross streets.  For example, Madison Avenue (in Manhattan) between East 51st Street and East 52nd Street is a street segment.  Madison Avenue between East 51st Street and East 53rd Street is not a street segment, because there is an intervening street, East 52nd Street, between the given cross streets. An exception to the requirement that the input cross streets be consecutive along the 'on' street is the case of a T-intersection: Function 3 accepts as input a street configuration that defines the long blockface of a T-intersection.  (For precise definitions of the terms 'three-street configuration', 'street segment', and 'T-intersection', see Chapter VII.3.) A street segment intersecting with or lying on a borough boundary can be specified in terms of streets from both boroughs, by using the input fields Borough Code 2 and Borough Code 3, as described in Chapter VII.7.

The information returned by a successful Function 3 call includes two lists of street codes for all cross streets at the two intersections defined by the input streets;  and geographic area codes for the left and right sides of the street, such as the left and right community districts, ZIP codes, census tracts, etc.  'Left' and 'right' are defined relative to the 'on' street's 'logical direction', which in general is the direction of increasing address. The information also includes two items called the Segment Azimuth and the Segment Orientation that indicate how the street segment is oriented with respect to the points of the compass.  Applications can use either of these items to determine compass direction descriptors for the left and right sides of the street.  Another item, the Cross Street Reversal Flag, can be used to determine left and right relative to the order in which the input cross streets were specified.

For a detailed discussion of Function 3, see Chapter VII.4.",street_segment,450,1000,,,"https://nycplanning.github.io/Geosupport-UPG/appendices/appendix01/#function-3
https://nycplanning.github.io/Geosupport-UPG/appendices/appendix13/#work-area-2-cow-function-3"
3C,On Street and a Pair of Consecutive Cross Streets & a Compass Direction (Side of Street),Same as Function 3 but for one side of the street only (Blockface information),"Function 3C processes blockfaces specified in terms of an input 'on' street, two cross streets and a compass direction designating the side of the street, such as 'the west side of Madison Avenue between East 53rd Street and East 54th Street'.  A blockface intersecting with or lying on a borough boundary can be specified in terms of streets from both boroughs, by using the input fields Borough Code 2 and Borough Code 3, as described in Chapter VII.7.

Function 3C returns blockface related information. This information is a subset of the set of items returned by Function 3, consisting of those items that are related to the specified side of the street. 

Function 3C has the Auxiliary Segment Option (see Chapter II.6).

Function 3C is discussed in detail in Chapter VII.5.",blockface,300,850,,,"https://nycplanning.github.io/Geosupport-UPG/appendices/appendix01/#function-3c
https://nycplanning.github.io/Geosupport-UPG/appendices/appendix13/#work-area-2-cow-function-3c"
3S,On Street and an Optional pair of any Intersecting Streets along the On Street,"Stretch-level data - Street Stretch information: List of intersecting streets in order along 'on' street, the distance between them and node IDs","Function 3S processes input street stretches. A street stretch is a portion of a street between any two cross streets.  If an input cross street intersects with the 'on' street twice, an input compass direction is required to identify which of the two intersections is intended. If the user application does not specify input cross streets, Function 3S returns information about the full length of the 'on' street.  Note that, in a Function 3S call, the input cross streets need not be consecutive along the 'on' street.

When successfully called Function 3S returns a list of all intersections in sequence along the 'on' street between (and including) the two intersections defined by the input 'on' and two cross streets, if any.  If the user has not specified input cross streets, the list contains all intersections in sequence from the beginning to the end of the 'on' street.  The sequence in which the intersections are listed accords with the direction of increasing addresses along the 'on' street.  Each intersection in the list is specified as a pair of street codes for two of the streets at that intersection. One of the street codes listed for an intersection may or not be the street code of the 'on' street. 

If the user requests Real Street Only output, only real street intersections are returned; Bends and Non-Street Features are not included in the list of intersections.

For each entry in the list of intersections of the street stretch, there are fields for a distance and a gap flag.  The distance is the approximate distance in feet between the given intersection and its predecessor in the list; the gap flag indicates whether the intersection and its predecessor are connected by the 'on' street. The gap flag also indicates the nature of the gap.  The first entry within a list will always have a zero in the distance field and a blank in the gap flag.

Function 3S is discussed in detail in Chapter VII.6.",street_stretch,19274,,,,"https://nycplanning.github.io/Geosupport-UPG/appendices/appendix01/#function-3s
https://nycplanning.github.io/Geosupport-UPG/appendices/appendix13/#work-area-2-cow-function-3s"
