name,parent,size,from,to,comment,alt_names,formatter
Continuous Parity Indicator/Duplicate Address Indicator,,1,22,22,,,
Low House Number of Block Face,,11,23,33,Sort Format,,
High House Number of Block Face,,11,34,44,Sort Format,,
DCP Preferred LGC,,2,45,46,,,
Number of Cross Streets at Low Address End,,1,47,47,,,
List of Cross Streets at Low Address End,,30,48,77,B5SC - Blank-Filled (Up to 5 B5SCs),,
Number of Cross Streets at High Address End,,1,78,78,,,
List of Cross Streets at High Address End,,30,79,108,B5SC - Blank-Filled (Up to 5 B5SCs),,
LION KEY:,,10,109,118,,,
Borough Code,LION KEY:,1,109,109,,,
Face Code,LION KEY:,4,110,113,,,
Sequence Number,LION KEY:,5,114,118,,,
Special Address Generated Record Flag,,1,119,119,,,
Side of Street Indicator,,1,120,120,,,
Segment Length in Feet,,5,121,125,,,
Spatial X-Y Coordinates of Address,,14,126,139,,,
Reserved for Possible Z Coordinate,,7,140,146,,,
Community Development Eligibility Indicator,,1,147,147,,,
Marble Hill/Rikers Island Alternative Borough Flag,,1,148,148,,,
DOT Street Light Contractor Area,,1,149,149,,,
COMMUNITY DISTRICT:,,3,150,152,,,
Community District Borough Code,COMMUNITY DISTRICT:,1,150,150,,,
Community District Number,COMMUNITY DISTRICT:,2,151,152,,,
ZIP Code,,5,153,157,,,
Election District,,3,158,160,,,
Assembly District,,2,161,162,,,
Split Election District Flag,,1,163,163,,,
Congressional District,,2,164,165,,,
State Senatorial District,,2,166,167,,,
Civil Court District,,2,168,169,,,
City Council District,,2,170,171,,,
Health Center District,,2,172,173,,,
Health Area,,4,174,177,,,
Sanitation District,,3,178,180,,,
Sanitation Collection Scheduling Section and Subsection,,2,181,182,,,
Sanitation Regular Collection Schedule,,5,183,187,,,
Sanitation Recycling Collection Schedule,,3,188,190,,,
Police Patrol Borough Command,,1,191,191,,,
Police Precinct,,3,192,194,,,
Fire Division,,2,195,196,,,
Fire Battalion,,2,197,198,,,
Fire Company Type,,1,199,199,,,
Fire Company Number,,3,200,202,,,
Community School District,,2,204,205,,,
Atomic Polygon,,3,206,208,Was Dynamic Block,,
Police Patrol Borough,,2,209,210,,,
Feature Type Code,,1,211,211,,,
Segment Type Code,,1,212,212,,,
Alley or Cross Street List Flag,,1,213,213,A - Alley Split X - Cross Street List Modified,,
Coincidence Segment Count,,1,214,214,,,
1990 Census Tract,,6,218,223,,,CT
2010 Census Tract,,6,224,229,,,CT
2010 Census Block,,4,230,233,,,
2010 Census Block Suffix,,1,234,234,Not Implemented,,
2000 Census Tract,,6,235,240,,,CT
2000 Census Block,,4,241,244,,,
2000 Census Block Suffix,,1,245,245,,,
Neighborhood Tabulation Area (NTA),,4,246,249,,,
DSNY Snow Priority Code,,1,250,250,Dept. of Sanitation,,
DSNY Organic Recycling Schedule,,5,251,255,Dept. of Sanitation,,
DSNY Bulk Pickup Schedule,,5,256,260,Dept. of Sanitation,,
Hurricane Evacuation Zone (HEZ),,2,261,262,,,
Underlying Address Number for NAPs,,11,274,284,Sort Format,,
Underlying B7SC,,8,285,292,,,
Segment Identifier,,7,293,299,,,
Curve Flag,,1,300,300,,,
List of 4 LGCs,,8,301,308,,,
BOE LGC Pointer,,1,309,309,,,
Segment Azimuth,,3,310,312,,,
Segment Orientation,,1,313,313,,,
SPATIAL COORDINATES OF SEGMENT:,,42,314,355,,,
"X Coordinate, Low Address End",SPATIAL COORDINATES OF SEGMENT:,7,314,320,,,
"Y Coordinate, Low Address End",SPATIAL COORDINATES OF SEGMENT:,7,321,327,,,
"Z Coordinate, Low Address End",SPATIAL COORDINATES OF SEGMENT:,7,328,334,Not Implemented,,
"X Coordinate, High Address End",SPATIAL COORDINATES OF SEGMENT:,7,335,341,,,
"Y Coordinate, High Address End",SPATIAL COORDINATES OF SEGMENT:,7,342,348,,,
"Z Coordinate, High Address End",SPATIAL COORDINATES OF SEGMENT:,7,349,355,Not Implemented,,
SPATIAL COORDINATES OF CENTER OF CURVATURE:,,21,356,376,,,
X Coordinate,SPATIAL COORDINATES OF CENTER OF CURVATURE:,7,356,362,,,
Y Coordinate,SPATIAL COORDINATES OF CENTER OF CURVATURE:,7,363,369,,,
Z Coordinate,SPATIAL COORDINATES OF CENTER OF CURVATURE:,7,370,376,Not Implemented,,
Radius of Circle,,7,377,383,,,
Secant Location Related to Curve,,1,384,384,"L - Left, R - Right",,
Angle to From Node - Beta Value,,5,385,389,Beta & Alpha Used to Calculate Coordinates,,
Angle to To Node - Alpha Value,,5,390,394,,,
From LION Node ID,,7,395,401,,,
To LION Node ID,,7,402,408,,,
LION Key for Vanity Address,,10,409,418,,,
Side of Street of Vanity Address,,1,419,419,,,
Split Low House Number,,11,420,430,,,
Traffic Direction,,1,431,431,,,
Turn Restrictions,,10,432,441,,,
Fraction for Curve Calculation,,3,442,444,,,
Roadway Type,,2,445,446,,,
Physical ID,,7,447,453,,,
