name,size,from,to,comment,parent,alt_names,formatter
List of 4 LGCs for Street 1,8,301,308,On Street,,,2
List of 4 LGCs for Street 2,8,309,316,Input Cross Street with Lower B5SC,,,2
List of 4 LGCs for Street 3,8,317,324,Input Cross Street with Higher B5SC,,,2
Left Health Center District,2,325,326,,,,
Right Health Center District,2,327,328,,,,
Traffic Direction,1,330,330,,,,
Roadway Type,2,331,332,,,,
Physical ID,7,333,339,,,,
Generic ID,7,340,346,,,,
NYPD ID,7,347,353,,,,
FDNY ID,7,354,360,,,,
Street Status,1,361,361,,,,
Street Width,3,362,364,,,,
Street Width Irregular,1,365,365,Not Implemented,,,
Bike Lane,1,366,366,Will be retired See Bike Lane 2,,,
Federal Classification Code,2,367,368,Not Implemented,,,
Right Of Way Type,1,369,369,,,,
List of 5 Additional LGCs for Street 1,10,370,379,Not Implemented,,,2
Legacy ID,7,380,386,,,,
NTA Name,75,387,461,,,,
FROM SPATIAL COORDINATES:,14,462,475,From Node,,,
From X Coordinate,7,462,468,,FROM SPATIAL COORDINATES:,,
From Y Coordinate,7,469,475,,FROM SPATIAL COORDINATES:,,
TO SPATIAL COORDINATES:,14,476,489,To Node,,,
To X Coordinate,7,476,482,,TO SPATIAL COORDINATES:,,
To Y Coordinate,7,483,489,,TO SPATIAL COORDINATES:,,
Latitude of From Intersection,9,490,498,From Node,,,
Longitude of From Intersection,11,499,509,,,,
Latitude of To Intersection,9,510,518,To Node,,,
Longitude of To Intersection,11,519,529,,,,
Blockface ID,10,530,539,,,,
Number of Travel Lanes on the Street,2,540,541,,,,
Number of Parking Lanes on the Street,2,542,543,,,,
Number of Total Lanes on the Street,2,544,545,,,,
Bike Lane 2,2,546,547,,,,
Street Width Maximum,3,548,550,,,,
Bike Traffic Direction,2,551,552,,,,
Speed Limit,2,553,554,,,,
PUMA Code,5,555,559,,,,
Police Sector,4,560,563,,,,
Truck Route Type,1,564,564,,,,
2020 Census Tract,6,809,814,,,,CT
2020 Census Block,4,815,818,,,,
2020 Census Block Suffix,1,819,819,,,,
2020 Neighborhood Tabulation Area (NTA),6,820,825,,,,
2020 Community District Tabulation Area (CDTA),4,826,829,,,,
