name,size,from,to,comment,parent,alt_names,formatter
Duplicate Key Flag or Continuous Parity,1,22,22,,,,
Locational Status of Segment,1,23,23,,,,
County Boundary Indicator,1,24,24,,,,
DCP-Preferred LGC for Street 1,2,25,26,On Street,,,
DCP-Preferred LGC for Street 2,2,27,28,Input Cross Street with Lower B5SC value,,,
DCP-Preferred LGC for Street 3,2,29,30,Input Cross Street with Higher B5SC value,,,
No. of Cross Streets at Low Addr End,1,31,31,,,,
List of Cross Streets at Low Address End,30,32,61,"Blank Filled;  (Up to five B5SCs, 6 bytes each)",,,6
Number of Cross Streets at High Address End,1,62,62,,,,
List of Cross Streets at High Address End,30,63,92,"Blank Filled;  (Up to five B5SCs, 6 bytes each)",,,6
Cross Street Reversal Flag,1,93,93,,,,
LION KEY,10,94,103,,,,
LION Borough Code,1,94,94,,LION KEY,,
LION Face Code,4,95,98,,LION KEY,,
LION Sequence Number,5,99,103,,LION KEY,,
Generated Record Flag,1,104,104,,,,
Length of Segment in Feet,5,105,109,,,,
Segment Azimuth,3,110,112,,,,
Segment Orientation,1,113,113,,,,
Marble Hill/Rikers Island Alternative Borough Flag,1,114,114,,,,
From Node,7,115,121,,,,
To Node,7,122,128,,,,
DSNY Snow Priority Code,1,129,129,Dept. of Sanitation,,,
Segment Identifier,7,134,140,,,,
DOT Street Light Contractor Area,1,141,141,,,,
Side-of-Street Indicator,1,142,142,,,,
Curve Flag,1,143,143,,,,
Feature Type Code,1,144,144,,,,
Segment Type Code,1,145,145,,,,
Coincident Segment Count,1,146,146,,,,
COMMUNITY DISTRICT:,3,151,153,,,,
Community District Borough Code,1,151,151,,COMMUNITY DISTRICT:,,
Community District Number,2,152,153,,COMMUNITY DISTRICT:,,
Low House Number,16,154,169,Display Format,,,
High House Number,16,170,185,Display Format,,,
Future Use,32,186,217,,,,
Community Development Eligibility Indicator,1,218,218,,,,
ZIP Code,5,219,223,,,,
Health Area,4,224,227,,,,
Police Patrol Borough Command,1,228,228,,,,
Police Precinct,3,229,231,,,,
Fire Division,2,232,233,,,,
Fire Battalion,2,234,235,,,,
Fire Company Type,1,236,236,,,,
Fire Company Number,3,237,239,,,,
Community School District,2,240,241,,,,
Atomic Polygon,3,242,244,Was Dynamic Block,,,
Election District (ED),3,245,247,,,,
Assembly District (AD),2,248,249,,,,
Police Patrol Borough,2,250,251,,,,
Borough Code,1,253,253,Internal Use,,,
1990 Census Tract,6,254,259,,,,CT
2010 Census Tract,6,260,265,,,,CT
2010 Census Block,4,266,269,,,,
2010 Census Block Suffix,1,270,270,Not Implemented,,,
2000 Census Tract,6,271,276,,,,CT
2000 Census Block,4,277,280,,,,
2000 Census Block Suffix,1,281,281,,,,
Neighborhood Tabulation Area (NTA),4,289,292,,,,
